fold,method,test_samples,scored,accuracy,macro_f1,abstention
1,rules,187,187,0.4117647058823529,0.4762702210070631,0.5240641711229946
1,tfidf,187,187,0.5026737967914439,0.26944629141350457,0.0106951871657754
1,llm,187,45,0.8222222222222222,0.7720572799520168,0.022222222222222223
1,hybrid,187,45,0.8444444444444444,0.7767806267806269,0.0
2,rules,190,190,0.4105263157894737,0.5001727173082672,0.4789473684210526
2,tfidf,190,190,0.6736842105263158,0.46658136190051086,0.0
2,llm,190,79,0.6962025316455697,0.590755973364669,0.13924050632911392
2,hybrid,190,79,0.7215189873417721,0.5714285714285714,0.0
3,rules,190,190,0.48947368421052634,0.5955460164835166,0.3894736842105263
3,tfidf,190,190,0.6789473684210526,0.560832607532751,0.0
3,llm,190,37,0.7027027027027027,0.5805537098560354,0.0
3,hybrid,190,37,0.7027027027027027,0.5805537098560354,0.0
4,rules,195,195,0.28205128205128205,0.3673444120927476,0.5846153846153846
4,tfidf,195,195,0.6256410256410256,0.3767753773302878,0.005128205128205128
4,llm,195,124,0.6693548387096774,0.6155683365285766,0.04838709677419355
4,hybrid,195,124,0.7016129032258065,0.6266430300604259,0.0
5,rules,182,182,0.5054945054945055,0.6234304744491502,0.43956043956043955
5,tfidf,182,182,0.6263736263736264,0.4232529986379477,0.0
5,llm,182,48,0.6041666666666666,0.5332690701111754,0.1875
5,hybrid,182,48,0.6875,0.5318070818070818,0.0
