threshold,accuracy,abstention,accuracy_when_answered,macro_f1
0.0,0.5941807044410413,0.0,0.5941807044410413,0.4593167020740067
0.2,0.5941807044410413,0.0,0.5941807044410413,0.4593167020740067
0.25,0.5329249617151608,0.18376722817764168,0.6529080675422139,0.4346166750810226
0.3,0.3981623277182236,0.4885145482388974,0.7784431137724551,0.3675996923103611
0.35,0.2542113323124043,0.7212863705972434,0.9120879120879121,0.28218314956535184
0.4,0.15773353751914243,0.8346094946401226,0.9537037037037037,0.15863333202042876
0.45,0.06584992343032159,0.9264931087289433,0.8958333333333334,0.08681228492299385
0.5,0.02909647779479326,0.9647779479326187,0.8260869565217391,0.055251269593904966
0.6,0.0030627871362940277,0.9938744257274119,0.5,0.015151515151515152
