fold,method,test_samples,scored,accuracy,macro_f1,abstention
1,rules,187,187,0.3315508021390374,0.4173650379392006,0.5935828877005348
1,tfidf,187,187,0.6363636363636364,0.49624784540384415,0.0106951871657754
1,llm,187,67,0.746268656716418,0.7458592452472502,0.13432835820895522
1,hybrid,187,67,0.8656716417910447,0.8351130351130353,0.0
2,rules,191,191,0.36649214659685864,0.4358467398596848,0.5130890052356021
2,tfidf,191,191,0.6649214659685864,0.38882363417790483,0.0
2,llm,191,59,0.6610169491525424,0.5831953071083505,0.06779661016949153
2,hybrid,191,59,0.7288135593220338,0.5958937198067634,0.0
3,rules,183,183,0.3333333333333333,0.4599377712273807,0.4918032786885246
3,tfidf,183,183,0.5409836065573771,0.32401260504201684,0.0
3,llm,183,50,0.66,0.6356902356902356,0.04
3,hybrid,183,50,0.68,0.6721981721981721,0.0
4,rules,187,187,0.5561497326203209,0.672355254077222,0.39572192513368987
4,tfidf,187,187,0.6470588235294118,0.5741318573207118,0.0
4,llm,187,73,0.6712328767123288,0.7221001221001221,0.136986301369863
4,hybrid,187,73,0.684931506849315,0.697315328349811,0.0
5,rules,196,196,0.5,0.5959140376963933,0.42857142857142855
5,tfidf,196,196,0.5408163265306123,0.3085381467784754,0.0
5,llm,196,84,0.8095238095238095,0.6314042376586797,0.023809523809523808
5,hybrid,196,84,0.8214285714285714,0.6332177989040734,0.0
