fold,method,test_samples,scored,accuracy,macro_f1,abstention
1,rules,187,187,0.3048128342245989,0.3767752715121136,0.6042780748663101
1,tfidf,187,187,0.5026737967914439,0.26944629141350457,0.0106951871657754
1,llm,187,38,0.8421052631578947,0.6894179894179894,0.0
1,hybrid,187,38,0.8421052631578947,0.6894179894179894,0.0
2,rules,190,190,0.24210526315789474,0.3532074602809118,0.6157894736842106
2,tfidf,190,190,0.6736842105263158,0.46658136190051086,0.0
2,llm,190,71,0.676056338028169,0.562251407129456,0.15492957746478872
2,hybrid,190,71,0.704225352112676,0.5412004801920769,0.0
3,rules,190,190,0.29473684210526313,0.31235851235851236,0.43157894736842106
3,tfidf,190,190,0.6789473684210526,0.560832607532751,0.0
3,llm,190,32,0.71875,0.6171428571428571,0.0
3,hybrid,190,32,0.71875,0.6171428571428571,0.0
4,rules,195,195,0.2153846153846154,0.2922073821477061,0.6153846153846154
4,tfidf,195,195,0.6256410256410256,0.3767753773302878,0.005128205128205128
4,llm,195,114,0.6842105263157895,0.5450249607759234,0.043859649122807015
4,hybrid,195,114,0.7192982456140351,0.5585129819040126,0.0
5,rules,182,182,0.2857142857142857,0.31761855313257187,0.4835164835164835
5,tfidf,182,182,0.6263736263736264,0.4232529986379477,0.0
5,llm,182,38,0.6842105263157895,0.7039371304077185,0.21052631578947367
5,hybrid,182,38,0.7631578947368421,0.59999284999285,0.0
