fold,method,test_samples,scored,accuracy,macro_f1,abstention
1,rules,192,192,0.3958333333333333,0.42376518926479584,0.5416666666666666
1,tfidf,192,192,0.5729166666666666,0.3061327008453445,0.0
1,llm,192,55,0.7454545454545455,0.6818518518518518,0.01818181818181818
1,hybrid,192,55,0.7454545454545455,0.6789760348583878,0.0
2,rules,186,186,0.4946236559139785,0.5926082952141317,0.41397849462365593
2,tfidf,186,186,0.6505376344086021,0.3701076563541849,0.0
2,llm,186,83,0.5903614457831325,0.6420520451770452,0.24096385542168675
2,hybrid,186,83,0.6626506024096386,0.6302564102564102,0.0
3,rules,188,188,0.43617021276595747,0.4914948131483565,0.44148936170212766
3,tfidf,188,188,0.6223404255319149,0.44313864263142183,0.0
3,llm,188,38,0.7368421052631579,0.5846153846153846,0.0
3,hybrid,188,38,0.7368421052631579,0.5846153846153846,0.0
4,rules,194,194,0.2422680412371134,0.38455603038936376,0.6185567010309279
4,tfidf,194,194,0.6649484536082474,0.5019943527877205,0.0
4,llm,194,96,0.7291666666666666,0.6750522282491591,0.020833333333333332
4,hybrid,194,96,0.7395833333333334,0.6778639189631805,0.0
5,rules,184,184,0.532608695652174,0.6887788687449129,0.3967391304347826
5,tfidf,184,184,0.6195652173913043,0.44393369483586004,0.0
5,llm,184,61,0.7213114754098361,0.6732617382617383,0.06557377049180328
5,hybrid,184,61,0.7868852459016393,0.6905694305694305,0.0
