fold,method,test_samples,scored,accuracy,macro_f1,abstention
1,rules,187,187,0.3048128342245989,0.3767752715121136,0.6042780748663101
1,tfidf,187,187,0.11229946524064172,0.0915915915915916,0.8342245989304813
1,llm,187,38,0.8421052631578947,0.6894179894179894,0.0
2,rules,190,190,0.24210526315789474,0.3532074602809118,0.6157894736842106
2,tfidf,190,190,0.2736842105263158,0.2523599311455384,0.7157894736842105
2,llm,190,71,0.676056338028169,0.562251407129456,0.15492957746478872
3,rules,190,190,0.29473684210526313,0.31235851235851236,0.43157894736842106
3,tfidf,190,190,0.20526315789473684,0.2022600204740531,0.7947368421052632
3,llm,190,32,0.71875,0.6171428571428571,0.0
4,rules,195,195,0.2153846153846154,0.2922073821477061,0.6153846153846154
4,tfidf,195,195,0.28205128205128205,0.19191919191919193,0.7128205128205128
4,llm,195,114,0.6842105263157895,0.5450249607759234,0.043859649122807015
5,rules,182,182,0.2857142857142857,0.31761855313257187,0.4835164835164835
5,tfidf,182,182,0.15934065934065933,0.12134502923976608,0.8186813186813187
5,llm,182,38,0.6842105263157895,0.7039371304077185,0.21052631578947367
